aer;James Tybout;pty13
aer;Jan C van Ours;pva54
aer;Jan De Loecker;pde165
aer;Jan Engelmann;pen85
aer;Jason Brown;pbr287
aer;Jean Francois Houde;pho323
aer;Jean Lee;ple797
aer;Jean Lee;ple936
aer;Jeffrey B Liebman;pli184
aer;Jesper Bagger;pba874
aer;Jesse Schreger;psc568
aer;Jiawei Chen;pch1069
aer;Jinwoo Kim;pki188
aer;Jochen Streb;pst382
aer;Johannes Beutel;pbe1191
aer;Johannes F Wieland;pwi408
aer;Johannes Haushofer;pha1127
aer;John C Ham;pha1028
aer;John Driffill;pdr24
aer;John Gathergood;pga544
aer;John H Tyler;pty2
aer;John Schirm;psc291
aer;Jonathan de Quidt;pde730
aer;Jonathan Gruber;pgr20
aer;Jonathan H Wright;pwr25
aer;Jonathan I Dingel;pdi319
aer;Jonathan Leonard;ple190
aer;Jordi Gal;pga43
aer;Jordi Gali;pga43
aer;Joseph E Harrington;pha354
aer;Joshua Blumenstock;pbl237
aer;Jozef Konings;pko61
aer;Juan A Lacomba;pla196
aer;Juan Carlos Hatchondo;pha599
aer;Katrine Vellesen L ken;plk4
aer;Kei Tsutsui;pts107
aer;Kent Smetters;psm21
aer;kos Valentinyi;pva126
aer;Larry Samuelson;psa80
aer;Laura Lasio;pla850
aer;Laurence Ales;pal707
aer;Li Wenli;pli1040
aer;Lisa J Cameron;pca304
aer;Louis Phaneuf;pph3
aer;Lukas Kremens;pkr367
aer;Lukas Schmid;psc452
aer;M Ayhan Kose;pko65
aer;M Keith Chen;pch1176
aer;M Utku Unver;pun2
aer;Maarten Goos;pgo182
aer;Marc D Weidenmier;pwe14
aer;Marco Bassetto;pba77
aer;Marco Di Maggio;pdi215
aer;Mark Ottoni Wilhelm;pwi112
aer;Massimo Rostagno;pro107
aer;Matthew E Smith;psm142
aer;Matthew Osborne;pos41
aer;Maurice E Lucas;plu15
aer;Maxwell B Stinchcombe;pst528
aer;Michael Brandt;pbr2
aer;Michael Dinerstein;pdi555
aer;Michael Kremer;pkr20
aer;Michael Spence;psp7
aer;Michela Giorcelli;pgi368
aer;Mikl s Koren;pko6
aer;Mirabelle Mu ls;pmu228
aer;Monika Mrazova;pmr10
aer;Morten I Lau;pla724
aer;Naomi E Feldman;pfe370
aer;Natalia Ramondo;pra566
aer;Nico Voigtl nder;pvo82
aer;Nicola Pavanini;ppa1057
aer;Nicolas Coeurdacier;pco481
aer;Nicolas Figueroa;pfi147
aer;Nicolas Petrosky Nadeau;ppe260
aer;Nina Boyarchenko;pbo573
aer;Olivier De Groote;pde1168
aer;Orhan Ayg n;pat96
aer;Orhan Ayg n;pda704
aer;Ozlem Bedre Defolie;pbe448
aer;P A Chiappori;pch377
aer;Paulina Restrepo Echavarria;pre260
aer;Pedro Bordalo;pbo515
aer;Pengfei Wang;pwa169
aer;Peter Arcidiacono;par211
aer;Peter H Egger;peg11
aer;Peter Katus ak;pka241
aer;Peter Nilsson;pni146
aer;Peter Temin;pte231
aer;Pol AntrA s;pan181
aer;R diger Bachmann;pba751
aer;R Preston McAfee;pmc32
aer;Raman Uppal;pup16
aer;Ran Abramitzky;pab108
aer;Randall Akee;pak85
aer;Raphael Schoenle;psc432
aer;Raquel Fernandez;pfe17
aer;Ric Colacito;pco212
aer;Robert E Wright;pwr21
aer;Robert Engle;pen9
aer;Roberto Venturini;pve288
aer;Roc Armenter;par124
aer;Roland G Fryer Jr;pfr43
aer;Ruben Durante;pdu242
aer;S Nageeb Ali;pal182
aer;Sean Crockett;pcr145
aer;Semyon Malamud;pma1192
aer;Sergey Nigai;pni247
aer;Seth Seabury;pse623
aer;Sharon Belenzon;pbe264
aer;Shigeru Fujita;pfu33
aer;Sibylle Lehmann Hasemeyer;ple303
aer;Simon Freyaldenhoven;pfr361
aer;Simone Galperti;pga921
aer;Sokbae Lee;ple107
aer;Stefano Lovo;plo467
aer;Susan E Feinberg;pfe129
aer;Swati Dhingra;pdh18
aer;T Renee Bowen;pbo759
aer;Tayfun S nmez;psi57
aer;Tetsuji Okazaki;pok12
aer;Thanh Nguyen;png123
aer;Thanh Nguyen;png184
aer;Thierry Post;ppo10
aer;Thomas M Mertens;pme415
aer;Tingjun Liu;pli903
aer;Todd B Walker;pwa179
aer;Tomasz Piskorski;ppi49
aer;Tomomi Tanaka;pta140
aer;Tomoyuki Nakajima;pna137
aer;Tse Chun Lin;pli503
aer;Tymofiy Mylovanov;pmy38
aer;Ulf S derstr m;pso33
