aer	Caroline Hoxby	pho46
aer	Carolyn L Evans	pev40
aer	Cary A Deck	pde234
aer	Caterina Calsamiglia	pca150
aer	Catherine C Eckel	pec27
aer	Catherine de Fontenay	pde454
aer	Cathy M Zhang	pzh422
aer	Cedric Tille	pti5
aer	Chad P Bown	pbo555
aer	Chad Syverson	psy13
aer	Charles A Holt	pho200
aer	Charles Blackorby	pbl21
aer	Charles David Sprenger	psp176
aer	Charles Engel	pen14
aer	Charles H Whiteman	pwh13
aer	Charles I Jones	pjo24
aer	Charles L Evans	pev23
aer	Charles Noussair	pno50
aer	Charles Phipps Thomas	pth302
aer	Charles R Link	pli617
aer	Charles Raymond Plott	ppl81
aer	Charles T Clotfelter	pcl34
aer	Charles W Calomiris	pca421
aer	Cheng Wang	pwa721
aer	Chiara Fumagalli	pfu50
aer	Chong Xiang	pxi42
aer	Chris Edmond	ped23
aer	Chris M Robinson	pro346
aer	Chris Telmer	pte102
aer	Christian Bayer	pba175
aer	Christian Dustmann	pdu62
aer	Christian Fons Rosen	pfo194
aer	Christian Hellwig	phe110
aer	Christian Riis	pri2
aer	Christian Zehnder	pze32
aer	Christina Duckworth Romer	pro407
aer	Christina Paxson	ppa335
aer	Christoph March	pma1320
aer	Christophe Chamley	pch389
aer	Christopher A Pissarides	ppi12
aer	Christopher Andrew Neilson	pne96
aer	Christopher Carroll	pca45
aer	Christopher Flinn	pfl8
aer	Christopher Hanes	pha665
aer	Christopher House	pho56
aer	Christopher John Erceg	per53
aer	Christopher M Meissner	pme45
aer	Christopher Mayer	pma212
aer	Christopher N Avery	pav7
aer	Christopher Otrok	pot2
aer	Christopher P Chambers	pch496
aer	Christopher R Knittel	pkn5
aer	Christopher R Udry	pud2
aer	Christopher S Cotton	pco210
aer	Christopher Sims	psi12
aer	Christopher Woodruff	pwo165
aer	Christos Kotsogiannis	pko309
aer	Claire Lelarge	ple907
aer	Clara Vega	pve43
aer	Claudia Goldin	pgo601
aer	Claudia M Landeo	pla167
aer	Claudia Olivetti	pol63
aer	Claudia Steinwender	pst849
aer	Claudio Ferraz	pfe125
aer	Claudio Michelacci	pmi94
aer	Clemens Dieter Puppe	ppu103
aer	Clemens Fuest	pfu13
aer	Clemens J M Kool	pko467
aer	Clemens Sialm	psi59
aer	Clifford M Winston	pwi70
aer	Clive W J Granger	pgr55
aer	Cormac O Grada	pog2
aer	Cosmin Liviu Ilut	pil25
aer	Costas Arkolakis	par274
aer	Costas Meghir	pme144
aer	Craig Burnside	pbu20
aer	Craig Elliott Landry	pla339
aer	Cristian Pop Eleches	ppo349
aer	Cristina Arellano	par171
aer	Curtis R Taylor	pta252
aer	D Gale Johnson	pjo254
aer	Daan van Soest	pva230
aer	Daisuke Nakajima	pna138
aer	Dale T Mortensen	pmo42
aer	Damien Sheehan Connor	psh746
aer	Damon Clark	pcl136
aer	Dan A Black	pbl23
aer	Dan Bernhardt	pbe65
aer	Dan Olof Rooth	pro875
aer	Dan Silverman	psi181
aer	Dani Rodrik	pro60
aer	Daniel Aaronson	paa13
aer	Daniel F Waggoner	pwa463
aer	Daniel Friedman	pfr22
aer	Daniel Hamermesh	pha78
aer	Daniel Houser	pho27
aer	Daniel Jacob Benjamin	pbe959
aer	Daniel John Wilson	pwi26
aer	Daniel John Zizzo	pzi26
aer	Daniel Kahneman	pka60
aer	Daniel Keath Fetter	pfe278
aer	Daniel L McFadden	pmc7
aer	Daniel Lederman	ple321
aer	Daniel M Bernhofen	pbe514
aer	Daniel M Sturm	pst443
aer	Daniel Martin	pma1484
aer	Daniel Trefler	ptr44
aer	Daniel Treisman	ptr286
aer	Daniela Puzzello	ppu37
aer	Daniele Coen Pirani	pco4
aer	Danilo Cascaldi Garcia	pca1251
aer	Danny Yagan	pya379
aer	Darius Noshir Lakdawalla	pla295
aer	Daron Acemoglu	pac16
aer	Darren Lubotsky	plu41
aer	David A Green	pgr285
aer	David A Jaeger	pja17
aer	David Alexandre Sraer	psr34
aer	David Altig	pal429
