journal|year|author|repec
American Economic Review|2011|Alessandro Gavazza|pga173
American Economic Review|2011|Michelle Alexopoulos|pal166
American Economic Review|2011|Jason Abaluck|none
American Economic Review|2011|Jonathan Gruber|pgr20
American Economic Review|2011|Gary Charness|pch205
American Economic Review|2011|Martin Dufwenberg|none
American Economic Review|2011|Kyle Bagwell|pba409
American Economic Review|2011|Robert W. Staiger|pst85
American Economic Review|2011|Claudio Ferraz|pfe125
American Economic Review|2011|Frederico Finan|pfi199
American Economic Review|2011|Bee Yan Aw|none
American Economic Review|2011|Mark J. Roberts|pro190
American Economic Review|2011|Daniel Yi Xu|pxu119
American Economic Review|2011|Joan Esteban|pes64
American Economic Review|2011|Soren T. Anderson|pan315
American Economic Review|2011|James M. Sallee|psa1187
American Economic Review|2011|Christopher A. Parsons|ppa751
American Economic Review|2011|Johan Sulaeman|none
American Economic Review|2011|Michael C. Yates|pha78
American Economic Review|2011|Daniel S. Hamermesh|pha78
American Economic Review|2011|Pierpaolo Benigno|pbe203
American Economic Review|2011|Luca Antonio Ricci|pri55
American Economic Review|2011|Kevin Lang|pla83
American Economic Review|2011|Michael Manove|pma228
American Economic Review|2011|Catherine C. Eckel|pec27
American Economic Review|2011|Ragan Petrie|ppe391
American Economic Review|2011|Jonathan H. Wright|pwr25
American Economic Review|2011|Gregory Lewis|ple684
American Economic Review|2011|Aurelien Baillon|pba869
American Economic Review|2011|Olivier L'Haridon|plh9
American Economic Review|2011|Laetitia Placido|ppl44
American Economic Review|2011|Jonathan G. James|none
American Economic Review|2011|Phillip Lawler|none
American Economic Review|2011|Oz Shy|psh190
American Economic Review|2011|Zhu Wang|pwa247
American Economic Review|2011|Benjamin Lester|ple283
American Economic Review|2011|Xiaoquan (Michael) Zhang|none
American Economic Review|2011|Feng Zhu|pzh106
American Economic Review|2011|Richard Crump|pcr107
American Economic Review|2011|Gopi Shah Goda|pgo431
American Economic Review|2011|Vikesh Amin|pam188
American Economic Review|2011|Jose Apesteguia|pap14
American Economic Review|2011|Ignacio Palacios-Huerta|ppa164
American Economic Review|2011|Nicholas Z. Muller|pmu472
American Economic Review|2011|Robert Mendelsohn|none
American Economic Review|2011|William Nordhaus|pno115
American Economic Review|2011|Carmen M. Reinhart|pre33
American Economic Review|2011|Kenneth S. Rogoff|pro164
American Economic Review|2011|Tim Erickson|none
American Economic Review|2011|Ariel Pakes|ppa20
American Economic Review|2011|Esther Duflo|pdu166
American Economic Review|2011|Pascaline Dupas|pdu104
American Economic Review|2011|Michael Kremer|pkr20
American Economic Review|2011|V. Joseph Hotz|pho4
American Economic Review|2011|Mo Xiao|none
American Economic Review|2011|Alexander S. Gorbenko|none
American Economic Review|2011|Andrey Malenko|none
American Economic Review|2011|Randall D. Cebul|none
American Economic Review|2011|James B. Rebitzer|pre77
American Economic Review|2011|Lowell J. Taylor|none
American Economic Review|2011|Mark E. Votruba|none
American Economic Review|2011|Alberto Alesina|pal207
American Economic Review|2011|Ekaterina Zhuravskaya|pzh71
American Economic Review|2011|Vincent P. Crawford|pcr2
American Economic Review|2011|Juanjuan Meng|pme419
American Economic Review|2011|Jeffrey L. Furman|none
American Economic Review|2011|Scott Stern|none
American Economic Review|2011|Francisco J. Buera|pbu242
American Economic Review|2011|Joseph P. Kaboski|pka175
American Economic Review|2011|Yongseok Shin|psh383
American Economic Review|2011|Quamrul Ashraf|pas40
American Economic Review|2011|Oded Galor|pga46
American Economic Review|2011|Mihai Manea|pma2117
American Economic Review|2011|Shing-Yi Wang|pwa494
American Economic Review|2011|John Y. Campbell|pca54
American Economic Review|2011|Stefano Giglio|pgi162
American Economic Review|2011|Parag Pathak|ppa503
American Economic Review|2011|Atif Mian|pmi415
American Economic Review|2011|Amir Sufi|psu303
American Economic Review|2011|Mirko Draca|pdr157
American Economic Review|2011|Stephen Machin|pma110
American Economic Review|2011|Robert Witt|pwi138
American Economic Review|2011|Marina Azzimonti|paz11
American Economic Review|2011|Hernán D. Rozenfeld|none
American Economic Review|2011|Diego Rybski|none
American Economic Review|2011|Xavier Gabaix|pga174
American Economic Review|2011|Hernán A. Makse|none
American Economic Review|2011|Peter Kuhn|pku26
American Economic Review|2011|Peter Kooreman|pko248
American Economic Review|2011|Adriaan Soetevent|pso65
American Economic Review|2011|Arie Kapteyn|pka406
American Economic Review|2011|Olga Gorbachev|pgo255
American Economic Review|2011|Kota Saito|none
American Economic Review|2011|Steven Callander|pca440
American Economic Review|2011|Pedro Carneiro|pca130
American Economic Review|2011|Sokbae Lee|ple107
American Economic Review|2011|Esther Duflo|pdu166
American Economic Review|2011|Michael Kremer|pkr20
American Economic Review|2011|Jonathan Robinson|pro377
American Economic Review|2011|Carlos Carvalho|pca106
American Economic Review|2011|Fernanda Nechio|pne215
American Economic Review|2011|Joseph E. Harrington|pha354
American Economic Review|2011|Andrzej Skrzypacz|psk11
American Economic Review|2011|Gita Gopinath|pgo327
American Economic Review|2011|Pierre-Olivier Gourinchas|pgo28
American Economic Review|2011|Chang-Tai Hsieh|none
American Economic Review|2011|Nicholas Li|pli738
American Economic Review|2011|Lance J. Lochner|plo31
American Economic Review|2011|Alexander Monge-Naranjo|pmo730
American Economic Review|2011|Jesus Fernandez-Villaverde|pfe14
American Economic Review|2011|Pablo Guerron-Quintana|pgu174
American Economic Review|2011|Juan F. Rubio-Ramirez|pru25
American Economic Review|2011|Martin Uribe|pur9
American Economic Review|2011|Roy Chen|pch1446
American Economic Review|2011|Yan Chen|pch1446
American Economic Review|2011|Emir Kamenica|none
American Economic Review|2011|Matthew Gentzkow|pge43
American Economic Review|2011|Gilles Duranton|pdu48
American Economic Review|2011|Matthew A. Turner|ptu3
American Economic Review|2011|Elena Krasnokutskaya|none
American Economic Review|2011|Katja Seim|none
American Economic Review|2011|Ryan Kellogg|pke157
American Economic Review|2011|Wei Xiong|pxi88
American Economic Review|2011|Jialin Yu|none
American Economic Review|2011|Pedro Carneiro|pca130
American Economic Review|2011|James J. Heckman|phe22
American Economic Review|2011|Edward J. Vytlacil|pvy2
American Economic Review|2011|Timothy K. M. Beatty|pbe545
American Economic Review|2011|Ian A. Crawford|pcr80
American Economic Review|2011|Charles Engel|pen14
American Economic Review|2011|Leena Rudanko|pru114
American Economic Review|2011|Stefano Eusepi|peu2
American Economic Review|2011|Bruce Preston|ppr134
American Economic Review|2011|Andreas Hornstein|pho142
American Economic Review|2011|Per Krusell|pkr102
American Economic Review|2011|Giovanni L. Violante|pvi7
American Economic Review|2011|Andrew Caplin|pca77
American Economic Review|2011|Mark Dean|pde557
American Economic Review|2011|Daniel Martin|pma1484
American Economic Review|2011|Mark Huggett|phu6
American Economic Review|2011|Mark Huggett|phu6
American Economic Review|2011|Gustavo Ventura|pve11
American Economic Review|2011|Amir Yaron|pya156
American Economic Review|2011|Viral V. Acharya|pac33
American Economic Review|2011|Peter DeMarzo|pde650
American Economic Review|2011|Ilan Kremer|none
American Economic Review|2011|Matthew Gentzkow|pge43
American Economic Review|2011|Jesse M. Shapiro|psh70
American Economic Review|2011|Michael Sinkinson|none
American Economic Review|2011|Nathaniel Baum-Snow|pba599
American Economic Review|2011|Byron F. Lutz|none
American Economic Review|2011|Hanming Fang|pfa17
American Economic Review|2011|Alessandro Gavazza|pga173
American Economic Review|2011|Taryn Dinkelman|pdi279
American Economic Review|2011|John Ifcher|none
American Economic Review|2011|Homa Zarghamee|pza362
American Economic Review|2011|Avi Goldfarb|pgo53
American Economic Review|2011|Mo Xiao|none
American Economic Review|2011|M. Scott Taylor|pta60
American Economic Review|2011|Sean Crockett|pcr145
American Economic Review|2011|Ryan Oprea|pop18
American Economic Review|2011|Charles Plott|ppl81
American Economic Review|2011|Nathan Nunn|pnu17
American Economic Review|2011|Leonard Wantchekon|none
American Economic Review|2011|Ruben Enikolopov|pen41
American Economic Review|2011|Maria Petrova|ppe296
American Economic Review|2011|Ekaterina Zhuravskaya|pzh71
American Economic Review|2011|Daron Acemoglu|pac16
American Economic Review|2011|Davide Cantoni|pca549
American Economic Review|2011|Simon Johnson|pjo44
American Economic Review|2011|James A. Robinson|pro179
American Economic Review|2011|Till von Wachter|pvo196
American Economic Review|2011|Jae Song|pso277
American Economic Review|2011|Joyce Manchester|none
American Economic Review|2011|Nisvan Erkal|per52
American Economic Review|2011|Lata Gangadharan|pga574
American Economic Review|2011|Nikos Nikiforakis|pni37
American Economic Review|2011|Simon Board|pbo105
American Economic Review|2011|Christopher R. Knittel|pkn5
American Economic Review|2011|Javier Bianchi|pbi159
American Economic Review|2011|Steffen Andersen|pan114
American Economic Review|2011|Seda Ertac|none
American Economic Review|2011|Uri Gneezy|pgn18
American Economic Review|2011|Moshe Hoffman|per98
American Economic Review|2011|John A. List|pli176
American Economic Review|2011|Stephanie E. Curcuru|none
American Economic Review|2011|Charles P. Thomas|pth302
American Economic Review|2011|Francis E. Warnock|pwa807
American Economic Review|2011|Jon Wongswan|pwo162
American Economic Review|2011|Craig Burnside|pbu20
American Economic Review|2011|Hanno Lustig|plu17
American Economic Review|2011|Adrien Verdelhan|pve80
American Economic Review|2012|Thomas Philippon|pph81
American Economic Review|2012|Vasiliki Skreta|psk88
American Economic Review|2012|Jean Tirole|pti33
American Economic Review|2012|Emmanuel Farhi|pfa207
American Economic Review|2012|Jean Tirole|pti33
American Economic Review|2012|Arnaud Costinot|pco355
American Economic Review|2012|Andres Rodriguez-Clare|pro372
American Economic Review|2012|Daron Acemoglu|pac16
American Economic Review|2012|Philippe Aghion|pag175
American Economic Review|2012|Leonardo Bursztyn|pbu249
American Economic Review|2012|David Hemous|phe470
American Economic Review|2012|Nicholas Bloom|pbl55
American Economic Review|2012|Raffaella Sadun|psa385
American Economic Review|2012|John Van Reenen|pva45
American Economic Review|2012|Matias Iaryczower|none
American Economic Review|2012|Matthew Shum|psh47
American Economic Review|2012|Urban Jermann|pje4
American Economic Review|2012|Vincenzo Quadrini|pqu2
American Economic Review|2012|Brian A. Jacob|none
American Economic Review|2012|Jens Ludwig|none
American Economic Review|2012|Timothy Simcoe|none
American Economic Review|2012|Daniel Friedman|pop18
American Economic Review|2012|Daniel Friedman|pop18
American Economic Review|2012|Ryan Oprea|pop18
American Economic Review|2012|Lukasz A. Drozd|pdr48
American Economic Review|2012|Jaromir B. Nosal|pno233
American Economic Review|2012|Petra Moser|pmo257
American Economic Review|2012|Alessandra Voena|pvo279
American Economic Review|2012|Maurizio Mazzocco|pma383
American Economic Review|2012|Shiv Saini|none
American Economic Review|2012|David Gill|pgi59
American Economic Review|2012|Victoria Prowse|ppr52
American Economic Review|2012|Martin Ravallion|pra29
American Economic Review|2012|Gauti B. Eggertsson|peg7
American Economic Review|2012|Chris Forman|none
American Economic Review|2012|Avi Goldfarb|pgo53
American Economic Review|2012|Shane Greenstein|pgr134
American Economic Review|2012|Santosh Anagol|pan160
American Economic Review|2012|Hugh Hoikwang Kim|pki417
American Economic Review|2012|Federico Echenique|pec5
American Economic Review|2012|Art Fraas|none
American Economic Review|2012|Randall Lutter|plu323
American Economic Review|2012|Nicholas Z. Muller|pmu472
American Economic Review|2012|Robert Mendelsohn|none
American Economic Review|2012|Nicholas Z. Muller|pmu472
American Economic Review|2012|Robert Mendelsohn|none
American Economic Review|2012|Orley Ashenfelter|none
American Economic Review|2012|Gregory S. Crawford|pcr19
American Economic Review|2012|Ali Yurukoglu|pyu85
American Economic Review|2012|Katherine Ho|pho493
American Economic Review|2012|Justin Ho|none
American Economic Review|2012|Julie Holland Mortimer|pmo678
American Economic Review|2012|Drew Fudenberg|pfu49
American Economic Review|2012|David G. Rand|ple1069
American Economic Review|2012|David G. Rand|ple1069
American Economic Review|2012|Anna Dreber|pdr66
American Economic Review|2012|Marina Halac|pha1103
American Economic Review|2012|Roman Inderst|pin77
American Economic Review|2012|Marco Ottaviani|pot1
American Economic Review|2012|Timothy Besley|pbe46
American Economic Review|2012|Hannes Mueller|pmu156
American Economic Review|2012|Bjorn Bartling|pba1106
American Economic Review|2012|Ernst Fehr|pfe29
American Economic Review|2012|Klaus M. Schmidt|psc136
American Economic Review|2012|Michael Kirchler|pki453
American Economic Review|2012|Jurgen Huber|none
American Economic Review|2012|Thomas Stockl|none
American Economic Review|2012|Mehmet Yorukoglu|pyo84
American Economic Review|2012|Florian Herold|none
American Economic Review|2012|Maarten J. Voors|pvo144
American Economic Review|2012|Eleonora E. M. Nillesen|none
American Economic Review|2012|Philip Verwimp|pve84
American Economic Review|2012|Erwin H. Bulte|pbu155
American Economic Review|2012|Robert Lensink|ple369
American Economic Review|2012|Daan P. Van Soest|pva230
American Economic Review|2012|Meredith Fowlie|none
American Economic Review|2012|Stephen P. Holland|pho374
American Economic Review|2012|Erin T. Mansur|pma874
American Economic Review|2012|J. Vernon Henderson|phe30
American Economic Review|2012|Adam Storeygard|pst380
American Economic Review|2012|David N. Weil|pwe24
American Economic Review|2012|Moritz Schularick|psc129
American Economic Review|2012|Alan M. Taylor|pta46
American Economic Review|2012|Giancarlo Corsetti|pco185
American Economic Review|2012|Panagiotis T. Konstantinou|none
American Economic Review|2012|Ingvild Almas|pal396
American Economic Review|2012|Michal Bauer|pba410
American Economic Review|2012|Julie Chytilova|pch486
American Economic Review|2012|Jonathan Morduch|pmo75
American Economic Review|2012|Heski Bar-Isaac|pba94
American Economic Review|2012|Guillermo Caruana|pca170
American Economic Review|2012|Vicente Cunat|pcu27
American Economic Review|2012|Leemore Dafny|none
American Economic Review|2012|Mark Duggan|pdu194
American Economic Review|2012|Subramaniam Ramanarayanan|none
American Economic Review|2012|Urban Jermann|pje4
American Economic Review|2012|Vincenzo Quadrini|pqu2
American Economic Review|2012|Maurice Obstfeld|pob13
American Economic Review|2012|Filip Matejka|pma1291
American Economic Review|2012|Alisdair McKay|pmc138
American Economic Review|2012|Bartosz Mackowiak|pma547
American Economic Review|2012|Mirko Wiederholt|pwi93
American Economic Review|2012|Christian Hellwig|phe110
American Economic Review|2012|Sebastian Kohls|pko502
American Economic Review|2012|Laura Veldkamp|pve40
American Economic Review|2012|Michael Woodford|pwo3
American Economic Review|2012|Pedro Bordalo|pbo515
American Economic Review|2012|Nicola Gennaioli|pge95
American Economic Review|2012|Andrei Shleifer|psh93
American Economic Review|2012|John Geanakoplos|none
American Economic Review|2012|Robert Axtell|pax2
American Economic Review|2012|J. Doyne Farmer|pfa201
American Economic Review|2012|Peter Howitt|pho22
American Economic Review|2012|Benjamin Conlee|pax2
American Economic Review|2012|Benjamin Conlee|pax2
American Economic Review|2012|Jonathan Goldstein|none
American Economic Review|2012|Matthew Hendrey|none
American Economic Review|2012|Nathan M. Palmer|ppa1335
American Economic Review|2012|Chun-Yi Yang|pax2
American Economic Review|2012|Viral Acharya|pac33
American Economic Review|2012|Robert Engle|pen9
American Economic Review|2012|Matthew Richardson|none
American Economic Review|2012|Emmanuel A. Abbe|plo171
American Economic Review|2012|Amir E. Khandani|none
American Economic Review|2012|Andrew W. Lo|plo171
American Economic Review|2012|Gunter Coenen|pco326
American Economic Review|2012|Roland Straub|pst535
American Economic Review|2012|Mathias Trabandt|ptr71
American Economic Review|2012|Robert Kollmann|pko143
American Economic Review|2012|Werner Roeger|none
American Economic Review|2012|Jan in't Veld|pin62
American Economic Review|2012|Jianjun Miao|pmi103
American Economic Review|2012|Pengfei Wang|pwa169
American Economic Review|2012|Zhiguo He|phe657
American Economic Review|2012|Wei Xiong|pxi88
American Economic Review|2012|Vasco M. Carvalho|pca56
American Economic Review|2012|Alberto Martin|pma513
American Economic Review|2012|Jaume Ventura|pve110
American Economic Review|2012|Gary Gorton|pgo458
American Economic Review|2012|Stefan Lewellen|none
American Economic Review|2012|Andrew Metrick|pme99
American Economic Review|2012|Perry Mehrling|none
American Economic Review|2012|Laurence J. Kotlikoff|pko44
American Economic Review|2012|Herakles Polemarchakis|none
American Economic Review|2012|Veronica Guerrieri|pgu220
American Economic Review|2012|Daniel Hartley|pha629
American Economic Review|2012|Erik Hurst|phu87
American Economic Review|2012|Edward L. Glaeser|pgl9
American Economic Review|2012|Joshua D. Gottlieb|pgo188
American Economic Review|2012|Kristina Tobio|none
American Economic Review|2012|Fernando Ferreira|pfe163
American Economic Review|2012|Joseph Gyourko|pgy3
American Economic Review|2012|Timothy Cogley|pco39
American Economic Review|2012|Thomas J. Sargent|psa83
American Economic Review|2012|Thomas J. Sargent|psa83
American Economic Review|2012|Felix Kubler|pku6
American Economic Review|2012|Karl Schmedders|psc9
American Economic Review|2012|Riccardo Colacito|pco212
American Economic Review|2012|Mariano M. Croce|pcr73
American Economic Review|2012|Huixin Bi|pbi174
American Economic Review|2012|Nora Traum|ptr159
American Economic Review|2012|Francesco Bianchi|pbi171
American Economic Review|2012|Saroj Bhattarai|pbh111
American Economic Review|2012|Jae Won Lee|ple247
American Economic Review|2012|Woong Yong Park|ppa749
American Economic Review|2012|Martin Berka|pbe194
American Economic Review|2012|Michael B. Devereux|pde32
American Economic Review|2012|Charles Engel|pen14
American Economic Review|2012|Christopher J. Erceg|per53
American Economic Review|2012|Jesper Linde|pli302
American Economic Review|2012|Stephanie Schmitt-Grohe|psc44
American Economic Review|2012|Martin Uribe|pur9
American Economic Review|2012|Takatoshi Ito|pit3
American Economic Review|2012|Olivier Jeanne|pje59
American Economic Review|2012|Barry Eichengreen|pei2
American Economic Review|2012|Nicola Cetorelli|pce70
American Economic Review|2012|Linda S. Goldberg|pgo256
American Economic Review|2012|Mariassunta Giannetti|pgi23
American Economic Review|2012|Luc Laeven|pla174
American Economic Review|2012|Shekhar Aiyar|pai7
American Economic Review|2012|Ralph De Haas|pde69
American Economic Review|2012|Neeltje Van Horen|pva277
American Economic Review|2012|Leah Platt Boustan|pbo332
American Economic Review|2012|Matthew E. Kahn|pka41
American Economic Review|2012|Paul W. Rhode|prh14
American Economic Review|2012|Richard Hornbeck|pho502
American Economic Review|2012|Matthew A. Turner|ptu3
American Economic Review|2012|Jeffrey S. Rosenthal|none
American Economic Review|2012|Jian Chen|none
American Economic Review|2012|Chunyan Hao|none
American Economic Review|2012|Todd Sorensen|pso321
American Economic Review|2012|Supriya Sarnikar|none
American Economic Review|2012|Ronald L. Oaxaca|poa2
American Economic Review|2012|Alberto Davila|none
American Economic Review|2012|Marie T. Mora|none
American Economic Review|2012|Walter Enders|pen67
American Economic Review|2012|Gary A. Hoover|pho403
American Economic Review|2012|Richard Akresh|pak31
American Economic Review|2012|Sonia Bhalotra|pbh22
American Economic Review|2012|Marinella Leone|ple593
American Economic Review|2012|Una Okonkwo Osili|pos97
American Economic Review|2012|Ellyn Creasey|pra268
American Economic Review|2012|Ahmed S. Rahman|pra268
American Economic Review|2012|Katherine A. Smith|psm135
American Economic Review|2012|Adrienne M. Lucas|plu223
American Economic Review|2012|Isaac M. Mbiti|pmb15
American Economic Review|2012|Cynthia Kinnan|pki546
American Economic Review|2012|Robert Townsend|pto99
American Economic Review|2012|Camelia Minoiu|pmi138
American Economic Review|2012|Olga Shemyakina|psh545
American Economic Review|2012|Jere R. Behrman|pbe285
American Economic Review|2012|Olivia S. Mitchell|pmi73
American Economic Review|2012|Cindy K. Soo|none
American Economic Review|2012|David Bravo|pbr442
American Economic Review|2012|Bruce Ian Carlin|none
American Economic Review|2012|David T. Robinson|pro347
American Economic Review|2012|Alan L. Gustman|pgu327
American Economic Review|2012|Thomas L. Steinmeier|none
American Economic Review|2012|Nahid Tabatabai|pgu327
American Economic Review|2012|Robert L. Clark|pcl142
American Economic Review|2012|Melinda Sandler Morrill|pmo1044
American Economic Review|2012|Steven G. Allen|pal6
American Economic Review|2012|Dirk Bergemann|pbe258
American Economic Review|2012|Stephen Morris|pmo9
American Economic Review|2012|Tilman Borgers|pbo407
American Economic Review|2012|Doug Smith|pbo407
American Economic Review|2012|Jason D. Hartline|none
American Economic Review|2012|Joel Waldfogel|pwa46
American Economic Review|2012|Shane Greenstein|pgr134
American Economic Review|2012|Feng Zhu|pzh106
American Economic Review|2012|Avi Goldfarb|pgo53
American Economic Review|2012|Catherine Tucker|ptu36
American Economic Review|2012|Itai Ashlagi|none
American Economic Review|2012|Alvin E. Roth|pro40
American Economic Review|2012|Scott Duke Kominers|pko394
American Economic Review|2012|E. Glen Weyl|pwe266
American Economic Review|2012|Yuichiro Kamada|none
American Economic Review|2012|Fuhito Kojima|none
American Economic Review|2012|John William Hatfield|none
American Economic Review|2012|Charles R. Plott|ppl81
American Economic Review|2012|Tomomi Tanaka|pta140
American Economic Review|2012|Nancy L. Rose|pro786
American Economic Review|2012|Paul L. Joskow|pjo110
American Economic Review|2012|Catherine D. Wolfram|none
American Economic Review|2012|Jerry A. Hausman|pha893
American Economic Review|2012|William E. Taylor|pta578
American Economic Review|2012|Clifford Winston|pwi70
American Economic Review|2012|Arnaud Costinot|pco355
American Economic Review|2012|Jonathan Vogel|pvo58
American Economic Review|2012|Su Wang|none
American Economic Review|2012|Se-Jik Kim|none
American Economic Review|2012|Hyun Song Shin|psh692
American Economic Review|2012|Robert C. Johnson|pjo146
American Economic Review|2012|Guillermo Noguera|pno241
American Economic Review|2012|Pol Antras|pan181
American Economic Review|2012|Davin Chor|pch787
American Economic Review|2012|Thibault Fally|pfa184
American Economic Review|2012|Russell Hillberry|phi69
American Economic Review|2012|Pravin Krishna|pkr50
American Economic Review|2012|Jennifer P. Poole|ppo413
American Economic Review|2012|Mine Zeynep Senses|pse143
American Economic Review|2012|David Hummels|phu100
American Economic Review|2012|Jakob R. Munch|pmu97
American Economic Review|2012|Lars Skipper|none
American Economic Review|2012|Chong Xiang|pxi42
American Economic Review|2012|Carl Davidson|pda225
American Economic Review|2012|Fredrik Heyman|phe146
American Economic Review|2012|Steven Matusz|pma401
American Economic Review|2012|Fredrik Sjoholm|psj1
American Economic Review|2012|Susan Chun Zhu|pzh95
American Economic Review|2012|Judith A. Frias|none
American Economic Review|2012|David S. Kaplan|pve68
American Economic Review|2012|David S. Kaplan|pve68
American Economic Review|2012|Eric Verhoogen|pve68
American Economic Review|2012|Archawa Paweenawat|ppa603
American Economic Review|2012|Robert M. Townsend|pto99
American Economic Review|2012|Klaus Desmet|pde116
American Economic Review|2012|Esteban Rossi-Hansberg|pro72
American Economic Review|2012|Arnaud Costinot|pco355
American Economic Review|2012|Dave Donaldson|pdo56
American Economic Review|2012|Manuel Amador|pam50
American Economic Review|2012|Kyle Bagwell|pba409
American Economic Review|2012|Ralph Ossa|pos139
American Economic Review|2012|Pol Antras|pan181
American Economic Review|2012|Robert W. Staiger|pst85
American Economic Review|2012|Frank Schorfheide|psc19
American Economic Review|2012|Kenneth I. Wolpin|none
American Economic Review|2012|John Geweke|pge136
American Economic Review|2012|Gianni Amisano|pam27
American Economic Review|2012|Steven N. Durlauf|pdu117
American Economic Review|2012|Chao Fu|none
American Economic Review|2012|Salvador Navarro|pna222
American Economic Review|2012|Salvador Navarro|pna222
American Economic Review|2012|Keith Marzilli Ericson|per105
American Economic Review|2012|Amanda Starc|per105
American Economic Review|2012|Martin B. Hackmann|pha1208
American Economic Review|2012|Jonathan T. Kolstad|none
American Economic Review|2012|Amanda E. Kowalski|pko425
American Economic Review|2012|Sarah Miller|none
American Economic Review|2012|John A. Graves|none
American Economic Review|2012|Jonathan Gruber|pgr20
American Economic Review|2012|Johannes F. Schmieder|psc344
American Economic Review|2012|Till von Wachter|pvo196
American Economic Review|2012|Stefan Bender|pbe1185
American Economic Review|2012|Henry S. Farber|none
American Economic Review|2012|Thomas Lemieux|ple92
American Economic Review|2012|W. Bentley MacLeod|pma156
American Economic Review|2012|Daniel Parent|ppa285
American Economic Review|2012|Elizabeth Asiedu|pas229
American Economic Review|2012|James A. Freeman|none
American Economic Review|2012|Akwasi Nti-Addae|pnt11
American Economic Review|2012|Willie Belton|none
American Economic Review|2012|Catalina Amuedo-Dorantes|pam57
American Economic Review|2012|Cynthia Bansak|pba322
American Economic Review|2012|Brian Duncan|none
American Economic Review|2012|Stephen J. Trejo|ptr78
American Economic Review|2012|Fali Huang|phu135
American Economic Review|2012|Ginger Zhe Jin|none
American Economic Review|2012|Lixin Colin Xu|pxu2
American Economic Review|2012|Cynthia Bansak|pba322
American Economic Review|2012|Mary E. Graham|none
American Economic Review|2012|Allan A. Zebedee|none
American Economic Review|2012|Marianne P. Bitler|pbi12
American Economic Review|2012|Lucie Schmidt|psc90
American Economic Review|2012|Yang Wang|pwa588
American Economic Review|2012|James R. Spletzer|psp146
American Economic Review|2012|Erika McEntarfer|pmc155
American Economic Review|2012|Steven J. Davis|pda15
American Economic Review|2012|R. Jason Faberman|pfa260
American Economic Review|2012|John C. Haltiwanger|pha231
American Economic Review|2012|John M. Abowd|pab175
American Economic Review|2012|Alan B. Krueger|pkr63
American Economic Review|2012|Andreas I. Mueller|pmu176
American Economic Review|2012|Elena Stancanelli|pst50
American Economic Review|2012|Arthur Van Soest|pva270
American Economic Review|2012|Leslie S. Stratton|pst181
American Economic Review|2012|Jungmin Lee|none
American Economic Review|2012|Daiji Kawaguchi|pka57
American Economic Review|2012|Daniel S. Hamermesh|pha78
American Economic Review|2012|John J. Siegfried|none
American Economic Review|2012|John J. Siegfried|none
American Economic Review|2012|John J. Siegfried|none
American Economic Review|2012|Charles E. Scott|none
American Economic Review|2012|John J. Siegfried|none
American Economic Review|2012|John J. Siegfried|none
American Economic Review|2012|John J. Siegfried|none
American Economic Review|2012|Pinelopi Koujianou Goldberg|pgo1
American Economic Review|2012|Janet Currie|pcu13
American Economic Review|2012|David H. Autor|pdo78
American Economic Review|2012|David H. Autor|pdo78
American Economic Review|2012|David H. Autor|pdo78
American Economic Review|2012|Esther Duflo|pdu166
American Economic Review|2012|Alan Auerbach|pau33
American Economic Review|2012|Steven J. Davis|pda15
American Economic Review|2012|Andrew Postlewaite|none
American Economic Review|2012|John J. Siegfried|psi31
American Economic Review|2012|Michael Watts|pwa378
American Economic Review|2012|Barbara M. Fraumeni|none
American Economic Review|2012|Marie T. Mora|none
American Economic Review|2012|Robert Feenstra|pfe116
American Economic Review|2012|Charles Schultze|none
American Economic Review|2012|Michael Woodford|pwo3
American Economic Review|2012|Chris Sims|psi12
American Economic Review|2012|William R. Johnson|pjo99
American Economic Review|2012|Samantha Bennett|none
American Economic Review|2012|Christopher A. Sims|psi12
American Economic Review|2012|Vivi Alatas|pal930
American Economic Review|2012|Abhijit Banerjee|pdu166
American Economic Review|2012|Abhijit Banerjee|pdu166
American Economic Review|2012|Rema Hanna|pha883
American Economic Review|2012|Benjamin A. Olken|pol170
American Economic Review|2012|Julia Tobias|none
American Economic Review|2012|Esther Duflo|pdu166
American Economic Review|2012|Rema Hanna|pha883
American Economic Review|2012|Stephen P. Ryan|pry32
American Economic Review|2012|Sylvain Chassang|pch604
American Economic Review|2012|Gerard Padro I Miquel|none
American Economic Review|2012|Erik Snowberg|psn15
American Economic Review|2012|Joan Esteban|pes64
American Economic Review|2012|Laura Mayoral|pma448
American Economic Review|2012|Robert B. Barsky|pba670
American Economic Review|2012|Eric R. Sims|psi336
American Economic Review|2012|Michael W. L. Elsby|pel126
American Economic Review|2012|Matthew D. Shapiro|psh144
American Economic Review|2012|Rajkamal Iyer|none
American Economic Review|2012|Manju Puri|none
American Economic Review|2012|Daron Acemoglu|pac16
American Economic Review|2012|Georgy Egorov|peg15
American Economic Review|2012|Konstantin Sonin|pso47
American Economic Review|2012|Richard Hornbeck|pho502
American Economic Review|2012|Stelios Michalopoulos|pmi314
American Economic Review|2012|Tobias Kretschmer|pkr60
American Economic Review|2012|Eugenio J. Miravete|pmi538
American Economic Review|2012|Jose C. Pernias|none
American Economic Review|2012|Mikael Carlsson|pca131
American Economic Review|2012|Oskar Nordstrom Skans|psk25
American Economic Review|2012|Jules van Binsbergen|pva668
American Economic Review|2012|Michael Brandt|pbr2
American Economic Review|2012|Ralph Koijen|pko589
